College Code,College Name,District,Type,EIIN,Address
2428,NAOGAON ASTAN MOLLAH COLLEGE,NAOGAON,Non Govt.,123489,"KDMORE, NAOGAON"
2429,ATRAI WOMEN'S COLLEGE,NAOGAON,Non Govt.,123086,"ATRAI, NAOGAON"
2430,GOBAR CHAPAHAT COLLEGE,NAOGAON,Non Govt.,123137,JABARIPURHAT
2431,RAIGOAN COLLEGE,NAOGAON,Non Govt.,123408,RAIGAON
2432,KOLA ADORSHO COLLEGE,Non Govt.AOGAON,Non Govt.,123139,KOLA HAT
2433,NAZIPUR MOHILA COLLEGE,NAOGAON,Non Govt.,123646,"PALSHA, Patnitola"
2434,TILNA COLLEGE,NAOGAON,Non Govt.,123826,TILNA
2435,KRISHNAPUR COLLEGE,NAOGAON,Non Govt.,123648,KRISHNAPUR
2436,DIGHIRHAT COLLEGE,NAOGAON,Non Govt.,123824,"Sapahar, Naogaon"
2437,PANIAL ADARSHA COLLEGE,NAOGAON,Non Govt.,123319,PANIAL
2301,N. S. GOVT. COLLEGE,NATORE,Govt.,124235,N.S GOVT. COLLEGE
2302,KHUBJIPUR MOZAMMEL HAQUE COLLEGE,NATORE,Non Govt.,124029,
2303,RANI BHAWANI GOVT. MAHILA COLLEGE,NATORE,Govt.,124237,NATORE SADAR
2304,DIGHAPATIA M. K. COLLEGE,NATORE,Non Govt.,124236,DIGHAPATIA
2305,GOL-E-AFROZ GOVT. COLLEGE,NATORE,Govt.,124312,"SINGRA, NATORE"
2306,BONPARA COLLEGE,NATORE,Non Govt.,123976,"BONPARA, HAROA"
2307,BAGATIPARA GOVT. COLLEGE,NATORE,Govt.,123888,"BAGATIPARA, NATORE"
2308,BILCHALAN SHAHID SHAMSUZZOHA GOVT. COLLEGE,NATORE,Govt.,124028,GURUDASPUR
2309,ABDULPUR GOVT. COLLEGE,NATORE,Govt.,124115,NATORE
2310,GOPALPUR COLLEGE,NATORE,Non Govt.,124114,GOPALPUR
2311,BARAIGRAM GOVERNMENT COLLEGE,NATORE,Govt.,123970,"BARAIGRAM, NATORE"
