orgid,approved_url
3826798,https://gcoeaerp.mastersofterp.in/iitmsv4eGq0RuNHb0G5WbhLmTKLmTO7YBcJ4RHuXxCNPvuIw=?enc=McWjUm9uTYH5Y5tHdpgpAg==
3826815,https://collegeholkar.org/
3826966,https://dbatu.samarth.edu.in/index.php/site/login
3827335,https://sim.unipune.ac.in/SIM_APP/
3827913,https://dypatiluniversitypune.edu.in/Exam-results.php
3827913,https://erp.dypiu.ac.in/login.htm
3827939,https://allduniv.samarth.edu.in/index.php/site/login
3827939,https://www.eccprayagraj.org/index.php?act=show_login
3828079,https://fcexams.in/studenthome.php
3828130,https://fmuniversity.samarth.edu.in/index.php/site/login
3828297,https://gbpiet.sitslive.com/
3828335,https://gujaratuniversity.samarth.edu.in/index.php/site/login
3828539,https://www.onlinegdcollege.com/
3828620,https://www.gec.edu.in/student
3828639,https://csvtu.digivarsity.online/Account/Login#
3828639,https://www.vticonnect.csvtu.ac.in/student/login
3828640,https://gtu.samarth.edu.in/index.php/site/login
3828965,https://mu.samarth.edu.in/index.php/site/login
3829009,https://edu-cierge.in/
3829142,https://aktu.samarth.edu.in/index.php/site/login
3829463,https://gtu.samarth.edu.in/index.php/site/login
3830072,https://accsoft.iesuniversity.ac.in/AccSoft/studentLogin.aspx
3830520,https://itcollege.ac.in/itcps/student/login.php
3830520,https://itcps-erp.itcollege.ac.in/erp-login.php
3830537,https://aktu.samarth.edu.in/index.php/site/login
3830605,https://uauth.vtu-online.net/login?code=eyJjbGllbnQiOiJ2dHUiLCJyZXF1ZXN0X3R5cGUiOiJBcHBsaWNhbnQiLCJwYWdlIjoic2lnbnVwIn0=#
3830864,https://rtmnuoa.samarth.edu.in/index.php/site/login
3830929,https://jmc.ac.in/smartprof/
3830929,https://slc.uod.ac.in/index.php/site/login
3831069,https://sim.unipune.ac.in/SIM_APP/
3831069,https://sol.unipune.ac.in/Login/Login/StudentLogin
3831069,https://sps.unipune.ac.in/APP/College/CollegeLogin/CollegeLogin
3831172,https://slc.uod.ac.in/index.php/site/login
3831172,https://www.kalindicollege.in/smartprof/index.php
3831230,https://admission.kanoriacollege.in/login-student-3
3831587,https://rguhs.samarth.edu.in/index.php/site/login
3831657,https://kits24by7.kitss.edu.in/pages-login.php
3831657,https://studentprofile.kitss.edu.in/pages-login.php
3832056,https://moodle.standrewscollege.ac.in/login/index.php
3832271,https://lkouniv.samarth.edu.in/index.php/site/login
3832539,https://slc.uod.ac.in/index.php/site/login
3832676,https://slc.uod.ac.in/index.php/site/login
3832732,https://slc.uod.ac.in/index.php/site/login
3832905,https://www.exam.ranchiuniversity.co.in/login
3833067,https://www.mckvie.edu.in/login/
3833175,https://ccsuniversity.samarth.edu.in/index.php/site/login
3833220,https://sim.unipune.ac.in/sim_app/Login/Login
3833423,https://mic.linways.com/ams/student/login
3833436,https://cloud.midnaporecollege.ac.in/studentportal/login.aspx
3833560,https://sgbau.samarth.edu.in/index.php/site/login
3834050,https://dbatu.samarth.edu.in/index.php/site/login
3834214,https://assessment.mec.edu.in/login/index.php
3834214,https://coe.annauniv.edu/home/
3834214,https://onlineservices.annauniv.edu/pages/login.php
3834564,https://aicas.learnsquare.co/login
3834760,https://www.jisgroup.net/erp/forms/frmcommonlogin.aspx?branch_id=3
3834769,https://aktu.samarth.edu.in/index.php/site/login
3834769,https://erp.aktu.ac.in/login.aspx
3834769,https://erp.aktu.ac.in/webpages/oneview/oneview.aspx
3834815,https://mu.samarth.edu.in/index.php/site/login
3834872,https://nowgongcollege.samarth.edu.in/index.php/site/login
3834872,https://www.nowgongcollege.edu.in/online/
3834958,https://gtu.samarth.edu.in/index.php/site/login
3834958,https://student.gtu.ac.in/
