University Name,Website
Hamdard University Bangladesh,http://hamdarduniversity.edu.bd/
Ishakha International University,http://www.ishakha.edu.bd/
North East University Bangladesh,http://neub.edu.bd/
"North Western University, Bangladesh",http://nwu.edu.bd/
Port City International University,https://www.portcity.edu.bd/
Varendra University,http://vu.edu.bd/
Sonargaon University,http://su.edu.bd/
Cox's Bazar International University,http://www.cbiu.ac.bd/
Fareast International University,http://www.fiu.edu.bd/
German University Bangladesh,https://gub.edu.bd/
North Bengal International University,https://www.nbiu.edu.bd/
Notre Dame University Bangladesh,http://ndub.edu.bd/
Ranada Prasad Shaha University,http://www.rpsu.edu.bd/
Brahmaputra International University,http://www.sfmuniversity.org
Times University Bangladesh,http://timesuniversitybd.com/
Canadian University of Bangladesh,http://cub.edu.bd/
Global University Bangladesh,http://globaluniversity.edu.bd/
NPI University of Bangladesh,https://www.npiub.edu.bd
Rabindra Maitree University,https://rmu.ac.bd/
University of Scholars,https://ius.edu.bd/
University of Creative Technology Chittagong,http://www.uctc.edu.bd/
Anwer Khan Modern University,https://akmu.edu.bd
University of Global Village,http://ugv.edu.bd/
Khulna Khan Bahadur Ahsanullah University,https://www.kkbau.ac.bd/
"Trust University, Barishal",https://trustuniversity.edu.bd
University of Brahmanbaria,https://uob.edu.bd/
University of Skill Enrichment and Technology,http://uset.edu.bd
International Standard University,http://www.isu.ac.bd
ZNRF University of Management Sciences,http://www.zums.edu.bd
Bandarban University,https://bubban.edu.bd
RTM Al-Kabir Technical University,http://www.rtm-aktu.edu.bd/
International Islami University of Science and Technology Bangladesh,https://www.iiustb.ac.bd/
Microland University of Science and Technology,https://www.microlanduniversity.org/
Lalon University of Science & Arts,https://www.lusa.ac.bd/
Grameen University,https://grameenu.ac/
University of Science & Technology Chittagong,http://ustc.ac.bd/
Ahsanullah University of Science and Technology,http://www.aust.edu/
Pundra University of Science and Technology,http://www.pundrouniversity.edu.bd/
Bangladesh University of Business and Technology,http://www.bubt.edu.bd/
Atish Dipankar University of Science and Technology,http://www.adust.edu.bd/
ZH Sikder University of Science & Technology,https://zhsust.edu.bd/
Rajshahi Science & Technology University,http://rstu.edu.bd/
Bangladesh Army International University of Science & Technology,http://www.baiust.edu.bd/
"Bangladesh Army University of Science & Technology, Khulna",https://baustkhulna.ac.bd/
"Bangladesh Army University of Science and Technology, Saidpur",http://baust.edu.bd/
CCN University of Science & Technology,https://ccnust.ac.bd/
Central University of Science and Technology,http://cust.edu.bd/
Dr. Momtaz Begum University of Science and Technology,http://must.ac.bd/
Central Women's University,http://www.cwu.edu.bd/
Shanto-Mariam University of Creative Technology,http://smuct.edu.bd/
University of Liberal Arts Bangladesh,http://ulab.edu.bd/
Bangladesh University of Health Sciences,http://buhs.ac.bd/
Exim Bank Agricultural University Bangladesh,http://www.ebaub.edu.bd/
Bangladesh Army University of Engineering & Technology,http://bauet.ac.bd/
Tagore University of Creative Arts,https://www.tuca.edu.bd/
Islamic University of Technology,http://www.iutoic-dhaka.edu/
Asian University for Women,https://asian-university.org/
Mymensingh University of Engineering and Technology,
Mymensingh Medical University,
Thakurgaon University of Science and Technology,
Marine Science University of Barisal,
Michael Madhusudan Cultural University,
Bangladesh University of Juridical Sciences,
Bangladesh University of Educational Planning and Administration,
